,Text,Media,Label
10,"The outbreak of dengue fever that has unfolded in Latin America over the past three months is staggering in its scale — a million cases in Brazil in a matter of weeks, a huge spike in Argentina, a state of emergency declared in Peru and now another in Puerto Rico.

It forewarns of a changing landscape for the disease. The mosquitoes that spread dengue thrive in densely populated cities with weak infrastructure, and in warmer and wetter environments — the type of habitat that is expanding quickly with climate change.

More than 3.5 million cases of dengue have been confirmed by governments in Latin America in the first three months of 2024, compared with 4.5 million in all of 2023. There have been more than 1,000 deaths so far this year. The Pan-American Health Organization is warning that this may be the worst year for dengue ever recorded.",The New York Times,Health
11,"Doses of cholera vaccine are being given to patients as fast as they are produced and the global stockpile has run completely dry, as deadly outbreaks of the disease continue to spread.

This does not shock anyone in the field of emergency epidemic response because the vaccine stockpile has been precariously low for years.

The surprise — the good news, which is in itself surprising since ‘cholera’ and ‘good news’ are rarely used together — is that three new vaccine makers are setting up production lines and joining the effort to replenish the stockpile.

And a fourth company, the only one that currently makes the vaccine, which is given orally, has been working at a pace that experts describe as “heroic” to expand its production.",The New York Times,Health
12,"For more than a decade, Israel has rehearsed, time and again, bombing and missile campaigns that would take out Iran’s nuclear production capability, much of it based around the city of Isfahan and the Natanz nuclear enrichment complex 75 miles to the north.

That is not what Prime Minister Benjamin Netanyahu’s war cabinet chose to do in the predawn hours of Friday, and in interviews, analysts and nuclear experts said the decision was telling.

So was the silence that followed. Israel said almost nothing about the limited strike, which appeared to do little damage in Iran. U.S. officials noted that the Iranian decision to downplay the explosions in Isfahan — and the suggestions by Iranian officials that Israel may not have been responsible — was a clear effort by the Islamic Revolutionary Guards Corps to avoid another round of escalation.

Inside the White House, officials asked the Pentagon, State Department and intelligence agencies to stay quiet about the operation, hoping to ease Iran’s efforts to calm the tensions in the region.",The New York Times,Politics
13,"Eric Hovde, the Republican banking executive challenging Senator Tammy Baldwin in Wisconsin, may be developing a problem with older voters.

The bank he leads, Utah-based Sunwest, last month was named as a co-defendant in a California lawsuit that accuses a senior living facility partly owned by the bank of elder abuse, negligence and wrongful death.

Mr. Hovde’s campaign called the suit meritless and said it was farcical to hold the chairman and chief executive of a bank responsible for the actions of a business that it seized in a foreclosure in 2021. Whatever its merits, the suit might have been largely irrelevant to Mr. Hovde’s political campaign had he himself not boasted recently of having gained expertise in the nursing home industry as a lender to such residences.

In comments this month in which he suggested there had been irregularities in the 2020 election, Mr. Hovde drew on that experience to say that residents of nursing homes “have a five-, six-month life expectancy” and that “almost nobody in a nursing home is at a point to vote.” Those remarks were quickly condemned by Democrats in Wisconsin and by the former Milwaukee Bucks star Kareem Abdul-Jabbar.",The New York Times,Politics
14,"The 18 New Yorkers selected to serve as jurors and alternates in the Manhattan criminal trial of former President Donald J. Trump this week were each asked the same series of 42 questions, from which lawyers hoped to divine how prospective jurors might feel about the case.

One key part of the questionnaire asked about the prospective juror’s media diet, having them identify which media they consume from a list of more than a dozen news organizations and social media platforms. The questionnaire also let them mention media not on the list, or say that they don’t follow the news.",The New York Times,Politics
15,"For years, Loretta Green has voted at her Southwest Atlanta precinct wearing the same custom T-shirt emblazoned with a photo of her first voter registration card, dated to 1960. The front of it reads: “This is why I vote.”

Since gaining the legal right, Ms. Green, 88, has participated in every possible election. This November will be no different, she said, when she casts a ballot for President Biden and Democrats down the ticket.

But conversations with her younger relatives, who have told her they’re unsure of voting or considering staying home, illustrate some of the challenges Mr. Biden’s campaign faces in reassembling his winning 2020 coalition, particularly in key battleground states like Georgia. While Ms. Green and many older Black voters are set on voting and already have plans in place to do so, younger Black voters, polling and focus group data show, feel far less motivated to cast a ballot for Democrats or even at all.

“To me, voting is almost sacred. Look at what people went through. The struggles. The people that allowed themselves to be beaten,” Ms. Green said of the civil rights movement that ignited her determination to vote in every election. “I think there are some young Blacks who probably feel like it didn’t even happen.”",The New York Times,Politics
16,"For every Greta Thunberg and school-skipping climate change protester, there is another member of Generation Z buying inexpensive clothes on a smartphone.

Their purchasing choices — fueled by influencer culture and catered to by a new wave of ultra-fast-fashion retailers such as Fashion Nova, Pretty Little Thing and Missguided (responsible for a £1 bikini that sold out in Britain) — are as much about how an outfit will look on social media as in the real world.

Three Gen Z shoppers in America, Australia and Britain invited us into their homes to talk about what they buy, and why. All of them work after school or save money to pay for their own purchases.",The New York Times,Fashion
17," — For the past decade, Nigeria’s best-known ambassadors have, arguably, been its musicians: Burna Boy, WizKid, Davido, Tiwa Savage Asake and Tems, who have popularized Afrobeats beyond West Africa. At a moment when music, literature, visual art and food from across the African continent continue to gain global popularity, fashion designers, particularly those from Nigeria, are ready for their industry to take center stage.

“Designers have become better and more confident, said Reni Folawiyo, owner of Alara, a popular concept store in Lagos. “Some have come back from different parts of the world and are creating things that are interesting to people; some are making more contemporary pieces that people can wear every day. There’s more variety, and people feel proud to be wearing things made by Africans.” In 2023, Alara opened a pop-up shop as part of the Brooklyn Museum’s “Africa Fashion” exhibition.

“Currently the global fashion community is looking to the African continent for more than inspiration,” said Ernestine White-Mifetu, the Sills Foundation curator of African art at the Brooklyn Museum. “The fashion world at large is finally ready to pay attention.”",The New York Times,Fashion
18,"Netflix added 9.3 million subscribers in the first quarter of 2024, it announced on Thursday, outperforming analysts’ expectations and solidifying its status as the entertainment industry’s dominant streaming company.

It also generated $2.3 billion in net income and its revenue was $9.3 billion, 15 percent higher compared with the same time last year. Netflix now has almost 270 million subscribers around the world.

The streaming giant said its quarter was buoyed by audience interest in series such as “Griselda,” “3 Body Problem” and “Avatar: The Last Airbender.”

Its ad-tier business, which is now a year old and offers subscribers a lower-priced option, grew 65 percent from last quarter. The company said that in the markets where the ad tier was available, 40 percent of new sign-ups chose that option. Cracking down on password sharing among households also buoyed the company’s quarterly numbers.",The New York Times,Entertainment
19,"There’s often a bias against the idea of flashiness, especially in classical music circles, as if it must always be preceded by the word “empty.”

But not on Wednesday at David Geffen Hall, where the conductor Andrés Orozco-Estrada and the cellist Edgar Moreau were making their New York Philharmonic debuts. If anything, the word that accompanied their kind of flashiness was “fun.”

By offering plenty of buoyancy — and largely skirting grave weight — the programming communicated this conductor’s zealous pursuit of entertainment. It ran from a rousing take on Tchaikovsky’s “Romeo and Juliet” Overture-Fantasy to a graceful (and yes, occasionally flashy) Haydn Cello Concerto No. 1, then, after intermission, a truly aggressive reading of Bartok’s “Miraculous Mandarin” Suite and a boisterous finale in Enescu’s Romanian Rhapsody No. 1.

That’s an evening built to dazzle and entertain. But there was substance as well. From the outset of Tchaikovsky’s crowd-pleaser, Orozco-Estrada had the Philharmonic players in fine balance: Plucked strings had presence; entrances of flute or harp came across clearly; a roll of percussion heightened tension without calling too much early attention to itself.",The New York Times,Entertainment
20,"I first learned about padel last summer, when my partner sent me a photo from a small court during a visit to Germany.

What is that? I wondered.

“Padel. A childish version of tennis,” he texted, anticipating my question.

As an enthusiastic tennis player, I was not very interested.

A few months later, while biking in Williamsburg, Brooklyn, I noticed a large building with a sign that read “Padel Haus,” which billed itself as the first padel club in New York City. This sport wanted my attention, so I invited Victor Mather, a veteran sports reporter, to join me for a lesson.

Victor was willing to try. “I am a reasonably fit guy,” he said. But he was turning 60, he said, and added: “My eyesight isn’t what it used to be, I haven’t played tennis since prep school, and I have never played squash or racquetball.”",The New York Times,Sports
21,"For the small, insular world of triathlon, it has been a week.

Last Monday, the International Testing Agency announced that Collin Chartier, a top American triathlete who had something of a breakout season last year, had tested positive for erythropoietin, commonly known as EPO, a performance-enhancing substance that has long been a favorite among endurance athletes.

EPO stimulates the production of red blood cells, which helps the body transport oxygen, ultimately increasing stamina. For years in professional cycling, it was about as common as saddle sores. Also, after more than two decades of doping scandals in nearly every sport, from track and field to baseball, most athletes, sports officials and fans have come to react to the latest positive test in the manner of Captain Renault entering Rick’s Cafe in “Casablanca.”

“I’m shocked! Shocked to find that gambling is going on in here.”

And yet Chartier’s positive test, his acceptance of a three-year suspension from competition and his subsequent attempts — on one of the sport’s leading podcasts and on social media — to own the violation, have rocked triathlon, producing the kind of shock and outrage over doping that recall a more innocent era.

“It’s really blown up the sport,” said Dan Plews, who coaches several elite triathletes, including Chelsea Sodaro, the reigning Ironman world champion.",The New York Times,Sports
22,"Track and field will be the first sport to give direct cash payments for Olympic gold medals, the sport’s federation announced Wednesday.

For decades, the Olympics trumpeted the ideal of amateurism. It took pride in being a competition where elite athletes battled for nothing more than the joy of representing their country.

Amateurism was touted as the best way to keep sports clean, fair and honest. “Professionalism” was looked down on as vulgar and mercenary. But the notion of amateurism at the Olympics has eroded over the last three decades, as professional athletes have been allowed to participate.

Now World Athletics, the global governing body for track and field, will break new ground by making payments to competitors more straightforward: All individual gold medalists in the sport at the Paris Games this summer will receive $50,000. (Winning relay teams will share the money.) The federation said it would begin paying silver and bronze medalists lesser amounts in 2028.",The New York Times,Sports
23," — The House on Saturday passed a $95 billion package that includes two long-awaited bills with $60.8 billion of aid for Ukraine and $26 billion in aid for Israel.

The Ukraine bill, which passed 311- 112 with one present, will head to the Senate alongside the Israel aid bill and two others — one with aid for Taiwan and another that would force TikTok's parent company to sell the platform.

Lawmakers waved Ukrainian flags and cheered upon the Ukraine bill's passage. Voting in favor were 101 Republicans and 210 Democrats, while Rep. Dan Meuser, R-Pa., voted present. All 112 votes against it came from Republicans.

The Israel bill passed 366-58, with 193 Republicans and 173 Democrats voting in favor.

The bills passed weeks after the Senate passed a mammoth bill with aid for Ukraine, Israel and Taiwan, as well as funding for border security. Speaker Mike Johnson, R-La., refused to bring that bill to the floor, instead opting to pass three separate bills with aid for the three nations.

The Ukraine aid bill comes at a crucial time in the country’s war with Russia, as Ukrainian President Volodymyr Zelenskyy has expressed the urgent need for weapons and supplies to continue defending Ukraine from Russian attacks.

President Joe Biden and Senate Minority Leader Mitch McConnell, R-Ky., lauded the House for passing the bills Saturday, with Biden saying in a statement that a bipartisan group of lawmakers voted to ""send a clear message about the power of American leadership on the world stage.""

""At this critical inflection point, they came together to answer history’s call, passing urgently-needed national security legislation that I have fought for months to secure,"" he said.

In a separate statement, McConnell said: “Today’s action moves this critical national security supplemental one step closer to helping America and our friends to meet the most dangerous array of threats in a generation. From the battlefields of Ukraine to the cities and kibbutzes of Israel, and from the Red Sea to the South China Sea, our adversaries are colluding to violently undermine America, our allies, and our global interests.""

The House also voted Saturday to force TikTok’s parent company to sell it or be banned in the U.S. According to the bill, China-based ByteDance would have to sell TikTok within nine months — which the president could extend to a year — or face a nationwide ban. The policy, which would lengthen the time frame for a sale from an earlier House bill, has Senate buy-in along with Biden’s support, putting TikTok closer than ever to being banned in the U.S.

The House also voted to provide $8.12 billion in aid to Taiwan.

The House voted on the four bills in succession, one day after a rare and extraordinary bipartisan coalition teed up the votes, with more Democrats (165) than Republicans (151) voting for the “rule” to proceed to the measures.

The three foreign aid bills will now go to the Senate. Taken together, they include the $95 billion aid package championed by Biden, with some changes from the version the Senate passed two months ago.

House Speaker Mike Johnson, R-La., at the Capitol on Wednesday. Aaron Schwartz / Sipa USA via AP

Holding the votes was an act of defiance by Johnson against an outspoken faction of conservative rebels who oppose funding for Ukraine and pushed him not to bring it to a vote. Three of them — Reps. Marjorie Taylor Greene, R-Ga., Thomas Massie, R-Ky., and Paul Gosar, R-Ariz. — have threatened to oust him as speaker. Passing the bill may bring Greene one step closer to forcing a vote to remove him.

After months of wavering, Johnson sided with Biden, Democrats and the Republicans who believe that helping Ukraine fend off Russian aggression is essential to U.S. national security interests, citing briefings he has received and warning: “Vladimir Putin would continue to march through Europe if he were allowed.”

“I would rather send bullets to Ukraine than American boys,” Johnson told reporters, noting that his son will enter the Naval Academy this year. “This is a live-fire exercise for me as it is for so many American families. This is not a game. This is not a joke.”

Before the vote, former President Donald Trump issued a confusing statement that sympathized with both the pro- and anti-Ukraine aid factions of the GOP without taking a clear position.

The bills are expected to be packaged together and sent to the Senate, which will have to vote on the whole legislation to send it to Biden's desk to sign into law. It’s unclear when that will happen. McConnell and Senate Majority Leader Chuck Schumer, D-N.Y., are outspoken proponents of the foreign aid provisions in the package.

“I hope that President Biden will soon have on his desk long-awaited funding to support our friends in Ukraine and Israel and the Indo-Pacific and aid for innocent civilians in need of humanitarian aid in Gaza and around the world,” Schumer said before the House vote, cautioning that Ukraine's hopes against Russia would diminish without additional U.S. weapons to defend itself.

Late Friday, Schumer said the Senate was working to get unanimous agreement to move quickly to vote on the foreign aid legislation. “We are working on an agreement for consideration of the supplemental,” he said on the Senate floor.

McConnell said earlier this week: “Here’s the political reality: If you think the fall of Afghanistan was bad, the fall of a European capital like Kyiv to Russian troops will be unimaginably worse, and if stalled American assistance makes that outcome possible, there’s no question where the blame will land, on us.”",NBC News,Politics
24," — Four California men who were associated with the ""Three Percenter"" militia group and convicted in connection with the Jan. 6 Capitol attack were taken into custody Friday after a judge ordered them to serve sentences ranging from 21 to 33 months in federal prison, far below what the government had requested.

Erik Scott Warner, Felipe Antonio Martinez, Derek Kinnison and Ronald Mele were all found guilty of felony obstruction of an official proceeding and other charges after a trial last year. One of their co-defendants, former California police chief Alan Hostetter, was sentenced to more than 11 years in federal prison in December. The trials featured testimony from co-defendant Russell Taylor, who pleaded guilty as part of a plea deal with the government.

The felony charge they were convicted of — obstruction of an official proceeding — is currently before the Supreme Court, where some of the justices seemed skeptical of the way the government had used the charge. A decision in that case is expected in the coming months. If the Supreme Court guts the charge, two of the defendants could end up only serving 12 months in prison on their misdemeanor convictions.

The men communicated over a ""The California Patriots — DC Brigade"" Telegram chat and brought weapons on their trip to Washington to participate in Jan. 6, according to evidence shown at trial. They kept a shotgun in their car, and Kinnison and Mele claimed they stored five handguns in their hotel room ""despite understanding that it was illegal,"" the government said. “We’re packing light just a scatter gun and a pistol a piece,"" Martinez joked, according to prosecutors.

Mele took photographs of the handguns, holsters, ammunition and magazines the group brought into their hotel room. U.S. District Court for the District of Columbia

Prosecutors had sought lengthy sentences for the foursome between 6.5 and eight years in federal prison, but Judge Royce Lamberth landed on much lower sentences within the guidelines range.

Warner received 27 months after telling Lamberth that he ""got caught up"" in the mob and was sorry for his conduct. ""I shouldn't have been there,"" he said, apologizing to his family for putting them ""through hell.""

Martinez received 21 months in prison after he said he was ""very sorry"" and apologized for his conduct, telling Lamberth that he would ""never see me back here.""

Kinnison was sentenced to 33 months in prison. He spoke about his love of God, family and country and said he admired the ""Judeo-Christian principles that the country was founded upon."" He said that he did repent for his sins and ask forgiveness for his sins and that he was praying for Lamberth and the prosecutors on the case.

Mele was also sentenced to 33 months. Prosecutors said he ""awarded"" his co-conspirators a ""Capitol Action Badge"" a few weeks after Jan. 6, which prosecutors described as a ""crudely modified version of a real military reward."" He said Jan. 6 ""gave this country a black eye"" that was still tender. Mele said he had pulled himself away from politics and that the experience of going through trial and seeing videos of some of the horrific violence at the Capitol had ""opened my eyes."" He said that he didn't condone what happened, calling it ""asinine.""

An image of the ""Capitol Action Badge"" Mele sent to his co-defendants. U.S. District Court for the District of Columbia

The government had sought eight years in prison for all the defendants except for Martinez, who they said should serve six and a half years.

The stakes, Assistant U.S. Attorney Anthony Mariano argued, could not be much higher, and the defendants here were in a “rare class” of Jan. 6 defendants who “worked together and had a plan” and were convicted in a criminal conspiracy. They came to Washington with “everything a soldier going into battle needs,” he noted.

""We are 262 days away from Jan. 6, 2025,"" Mariano said Friday, arguing that the sentence imposed ""needs to consider January 6, 2025, 2029, 2033, and so on.""

More than 1,387 people have been charged in connection with the Capitol attack, with more than 984 defendants having been convicted. Of the more than 859 defendants who have been sentenced, more than 520 have been sentenced to periods of incarceration of a few days behind bars to 22 years in federal prison.

The overwhelming majority of Jan. 6 defendants in custody either admitted to their criminal conduct or were found guilty at trial; only about 15 defendants in pretrial custody.

CORRECTION (April 20, 2024, 4:01 p.m.) A previous version of this story misstated the number of men associated with the “Three Percenter” militia group who were taken into custody. It was four, not three.",NBC News,Politics
25,"The New Yorkers who could decide Donald Trump’s fate were vetted in real time on Friday by the former president’s defense team.

As the potential alternate jurors were being questioned by prosecutors seeking to convict Trump of illegally paying hush money to a porn star, and by defense attorneys trying to keep him out of jail, a jury consultant hired by Trump's legal team was watching the candidates closely for telltale signs of possible bias while simultaneously feeding the defense attorneys her impressions.

Follow along for live updates

Meanwhile, other jury consultants say, it is likely that a team of researchers working with the jury consultant were doing social media and other online searches to fill out the picture of every potential juror and sending that information to Trump’s lawyers in the courtroom.

“All this has to happen relatively quickly,” said veteran jury consultant Jo-Ellan Dimitrius of Dimitrius & Associates, who has been following the case and identified the firm working for Trump as Magna Legal Services.

The Philadelphia-based firm did not respond to a call from NBC News but court records show that Magna served as Trump’s jury consultant when was ordered to pay $83.3 million in damages to writer E. Jean Carroll for defaming her in 2019.

It was not immediately clear if the Manhattan District Attorney’s office used its own jury consultant to vet jurors and a spokesperson for the agency did not return numerous phone calls from NBC News.

By midday, jury selection had been completed and Trump's first trial was heading for opening arguments.

Using jury consultants for vetting has become a fairly common practice.

“In my experience, there’s usually a consultant sitting behind the lawyers with a laptop who is feeding information to the lawyer doing the questioning of jurors,” Dimitrius said. “They usually have the home office doing the social media checks and other searches because the primary role of the consultant in the courtroom is to listen and watch the jurors and give feedback to the lawyers.”

Sometimes the background checks of potential jurors are being done even before the questioning begins, Dimitrius said.

“Generally on the morning of jury selection you get a list of potential jurors,” she said. “So we will take an iPhone photo of the list and send it back to the office where they’ll start their searches.”

Tampa-based jury consultant Michael Boucher of TCS, who has worked on a number of high-profile cases in New York City, like former Alaska Gov. Sarah Palin’s failed libel case versus the New York Times, echoed Dimitrius.

“In a case like this, we would set up a laptop on the podium and use a messaging app to stay in contact with the lawyers questioning the jurors,” Boucher said. “Not only are you feeding the lawyer information, you are finding on the jurors online, you’re trying to help guide the lawyer asking the questions. Lawyers, at times, sometimes get too far into the weeds and they need assistance so they can come up with follow-up questions.”

At the same time, Boucher said, “We’re watching the reactions of the other jurors waiting to be questioned and feeding that information to our legal team. That way, when the next potential juror steps up we already have a sense of where they stand.”

Boucher said in his experience Manhattan jury pools tend to be sophisticated, well-educated and thoughtful. But cases involving polarizing figures like Trump or Palin “sometime attract what we call 'motivated jurors,' with strong feelings either for or against"" them.

“It’s very hard to find anybody who doesn’t have an opinion about Trump,” he said.

NBC News Legal Analyst Danny Cevallos, an attorney who practices in New York and elsewhere, agreed.

“In virtually every other case in the world, there’s not a strong chance that the jurors have tweeted about the defendant or posted on social media,"" Cevallos said. ""This is the rare one-in-a-million case where there’s a good chance all of us have retweeted or tweeted something about Donald Trump.""

Renato Stabile, managing director at Dubin Research & Consulting in New York City, said the ability to track social media has revolutionized the way juries get picked — and how jury consultants do their jobs.

“Before you just had to rely on what jurors said in court, and I think lawyers depended a lot more on their experience and gut, and maybe unfortunately, stereotypes that were either correct or incorrect and their past experience,"" Stabile said. ""Now you just get such a better sense of what jurors are really all about based on the articles they’re liking, what they’re reposting.""

Examining social media is ""probably the most important part of jury selection,” said David Oscar Markus, a criminal defense attorney who, among others, successfully defended former Tallahassee mayor Andrew Gillum against charges of lying to the FBI.

“Lots of folks will come into court and say, ‘Yes, of course, I can be fair,’ or, ‘I have feelings about this one way or the other, but I can put all those aside and give the prosecution and defense a fair shake',"" Markus said. ""But then, once you see posts, even if they’re old posts, they reveal sort of the jurors’ true feelings.”

Lisa Rubin and Corky Siemaszko reported from New York City, Megan Lebowitz reported from Washington, D.C.",NBC News,Politics
