,Text,Clean_Text,Media,Label
10,"The outbreak of dengue fever that has unfolded in Latin America over the past three months is staggering in its scale — a million cases in Brazil in a matter of weeks, a huge spike in Argentina, a state of emergency declared in Peru and now another in Puerto Rico.

It forewarns of a changing landscape for the disease. The mosquitoes that spread dengue thrive in densely populated cities with weak infrastructure, and in warmer and wetter environments — the type of habitat that is expanding quickly with climate change.

More than 3.5 million cases of dengue have been confirmed by governments in Latin America in the first three months of 2024, compared with 4.5 million in all of 2023. There have been more than 1,000 deaths so far this year. The Pan-American Health Organization is warning that this may be the worst year for dengue ever recorded.",the outbreak of dengue fever that has unfolded in latin america over the past three months is staggering in its scale a million cases in brazil in a matter of weeks a huge spike in argentina a state of emergency declared in peru and now another in puerto rico it forewarns of a changing landscape for the disease the mosquitoes that spread dengue thrive in densely populated cities with weak infrastructure and in warmer and wetter environments the type of habitat that is expanding quickly with climate change more than million cases of dengue have been confirmed by governments in latin america in the first three months of compared with million in all of there have been more than deaths so far this year the pan american health organization is warning that this may be the worst year for dengue ever recorded ,The New York Times,Health
11,"Doses of cholera vaccine are being given to patients as fast as they are produced and the global stockpile has run completely dry, as deadly outbreaks of the disease continue to spread.

This does not shock anyone in the field of emergency epidemic response because the vaccine stockpile has been precariously low for years.

The surprise — the good news, which is in itself surprising since ‘cholera’ and ‘good news’ are rarely used together — is that three new vaccine makers are setting up production lines and joining the effort to replenish the stockpile.

And a fourth company, the only one that currently makes the vaccine, which is given orally, has been working at a pace that experts describe as “heroic” to expand its production.",doses of cholera vaccine are being given to patients as fast as they are produced and the global stockpile has run completely dry as deadly outbreaks of the disease continue to spread this does not shock anyone in the field of emergency epidemic response because the vaccine stockpile has been precariously low for years the surprise the good news which is in itself surprising since cholera and good news are rarely used together is that three new vaccine makers are setting up production lines and joining the effort to replenish the stockpile and a fourth company the only one that currently makes the vaccine which is given orally has been working at a pace that experts describe as heroic to expand its production ,The New York Times,Health
12,"For more than a decade, Israel has rehearsed, time and again, bombing and missile campaigns that would take out Iran’s nuclear production capability, much of it based around the city of Isfahan and the Natanz nuclear enrichment complex 75 miles to the north.

That is not what Prime Minister Benjamin Netanyahu’s war cabinet chose to do in the predawn hours of Friday, and in interviews, analysts and nuclear experts said the decision was telling.

So was the silence that followed. Israel said almost nothing about the limited strike, which appeared to do little damage in Iran. U.S. officials noted that the Iranian decision to downplay the explosions in Isfahan — and the suggestions by Iranian officials that Israel may not have been responsible — was a clear effort by the Islamic Revolutionary Guards Corps to avoid another round of escalation.

Inside the White House, officials asked the Pentagon, State Department and intelligence agencies to stay quiet about the operation, hoping to ease Iran’s efforts to calm the tensions in the region.",for more than a decade israel has rehearsed time and again bombing and missile campaigns that would take out iran s nuclear production capability much of it based around the city of isfahan and the natanz nuclear enrichment complex miles to the north that is not what prime minister benjamin netanyahu s war cabinet chose to do in the predawn hours of friday and in interviews analysts and nuclear experts said the decision was telling so was the silence that followed israel said almost nothing about the limited strike which appeared to do little damage in iran u s officials noted that the iranian decision to downplay the explosions in isfahan and the suggestions by iranian officials that israel may not have been responsible was a clear effort by the islamic revolutionary guards corps to avoid another round of escalation inside the white house officials asked the pentagon state department and intelligence agencies to stay quiet about the operation hoping to ease iran s efforts to calm the tensions in the region ,The New York Times,Politics
13,"Eric Hovde, the Republican banking executive challenging Senator Tammy Baldwin in Wisconsin, may be developing a problem with older voters.

The bank he leads, Utah-based Sunwest, last month was named as a co-defendant in a California lawsuit that accuses a senior living facility partly owned by the bank of elder abuse, negligence and wrongful death.

Mr. Hovde’s campaign called the suit meritless and said it was farcical to hold the chairman and chief executive of a bank responsible for the actions of a business that it seized in a foreclosure in 2021. Whatever its merits, the suit might have been largely irrelevant to Mr. Hovde’s political campaign had he himself not boasted recently of having gained expertise in the nursing home industry as a lender to such residences.

In comments this month in which he suggested there had been irregularities in the 2020 election, Mr. Hovde drew on that experience to say that residents of nursing homes “have a five-, six-month life expectancy” and that “almost nobody in a nursing home is at a point to vote.” Those remarks were quickly condemned by Democrats in Wisconsin and by the former Milwaukee Bucks star Kareem Abdul-Jabbar.",eric hovde the republican banking executive challenging senator tammy baldwin in wisconsin may be developing a problem with older voters the bank he leads utah based sunwest last month was named as a co defendant in a california lawsuit that accuses a senior living facility partly owned by the bank of elder abuse negligence and wrongful death mr hovde s campaign called the suit meritless and said it was farcical to hold the chairman and chief executive of a bank responsible for the actions of a business that it seized in a foreclosure in whatever its merits the suit might have been largely irrelevant to mr hovde s political campaign had he himself not boasted recently of having gained expertise in the nursing home industry as a lender to such residences in comments this month in which he suggested there had been irregularities in the election mr hovde drew on that experience to say that residents of nursing homes have a five six month life expectancy and that almost nobody in a nursing home is at a point to vote those remarks were quickly condemned by democrats in wisconsin and by the former milwaukee bucks star kareem abdul jabbar ,The New York Times,Politics
14,"The 18 New Yorkers selected to serve as jurors and alternates in the Manhattan criminal trial of former President Donald J. Trump this week were each asked the same series of 42 questions, from which lawyers hoped to divine how prospective jurors might feel about the case.

One key part of the questionnaire asked about the prospective juror’s media diet, having them identify which media they consume from a list of more than a dozen news organizations and social media platforms. The questionnaire also let them mention media not on the list, or say that they don’t follow the news.",the new yorkers selected to serve as jurors and alternates in the manhattan criminal trial of former president donald j trump this week were each asked the same series of questions from which lawyers hoped to divine how prospective jurors might feel about the case one key part of the questionnaire asked about the prospective juror s media diet having them identify which media they consume from a list of more than a dozen news organizations and social media platforms the questionnaire also let them mention media not on the list or say that they don t follow the news ,The New York Times,Politics
15,"For years, Loretta Green has voted at her Southwest Atlanta precinct wearing the same custom T-shirt emblazoned with a photo of her first voter registration card, dated to 1960. The front of it reads: “This is why I vote.”

Since gaining the legal right, Ms. Green, 88, has participated in every possible election. This November will be no different, she said, when she casts a ballot for President Biden and Democrats down the ticket.

But conversations with her younger relatives, who have told her they’re unsure of voting or considering staying home, illustrate some of the challenges Mr. Biden’s campaign faces in reassembling his winning 2020 coalition, particularly in key battleground states like Georgia. While Ms. Green and many older Black voters are set on voting and already have plans in place to do so, younger Black voters, polling and focus group data show, feel far less motivated to cast a ballot for Democrats or even at all.

“To me, voting is almost sacred. Look at what people went through. The struggles. The people that allowed themselves to be beaten,” Ms. Green said of the civil rights movement that ignited her determination to vote in every election. “I think there are some young Blacks who probably feel like it didn’t even happen.”",for years loretta green has voted at her southwest atlanta precinct wearing the same custom t shirt emblazoned with a photo of her first voter registration card dated to the front of it reads this is why i vote since gaining the legal right ms green has participated in every possible election this november will be no different she said when she casts a ballot for president biden and democrats down the ticket but conversations with her younger relatives who have told her they re unsure of voting or considering staying home illustrate some of the challenges mr biden s campaign faces in reassembling his winning coalition particularly in key battleground states like georgia while ms green and many older black voters are set on voting and already have plans in place to do so younger black voters polling and focus group data show feel far less motivated to cast a ballot for democrats or even at all to me voting is almost sacred look at what people went through the struggles the people that allowed themselves to be beaten ms green said of the civil rights movement that ignited her determination to vote in every election i think there are some young blacks who probably feel like it didn t even happen ,The New York Times,Politics
16,"For every Greta Thunberg and school-skipping climate change protester, there is another member of Generation Z buying inexpensive clothes on a smartphone.

Their purchasing choices — fueled by influencer culture and catered to by a new wave of ultra-fast-fashion retailers such as Fashion Nova, Pretty Little Thing and Missguided (responsible for a £1 bikini that sold out in Britain) — are as much about how an outfit will look on social media as in the real world.

Three Gen Z shoppers in America, Australia and Britain invited us into their homes to talk about what they buy, and why. All of them work after school or save money to pay for their own purchases.",for every greta thunberg and school skipping climate change protester there is another member of generation z buying inexpensive clothes on a smartphone their purchasing choices fueled by influencer culture and catered to by a new wave of ultra fast fashion retailers such as fashion nova pretty little thing and missguided responsible for a bikini that sold out in britain are as much about how an outfit will look on social media as in the real world three gen z shoppers in america australia and britain invited us into their homes to talk about what they buy and why all of them work after school or save money to pay for their own purchases ,The New York Times,Fashion
17," — For the past decade, Nigeria’s best-known ambassadors have, arguably, been its musicians: Burna Boy, WizKid, Davido, Tiwa Savage Asake and Tems, who have popularized Afrobeats beyond West Africa. At a moment when music, literature, visual art and food from across the African continent continue to gain global popularity, fashion designers, particularly those from Nigeria, are ready for their industry to take center stage.

“Designers have become better and more confident, said Reni Folawiyo, owner of Alara, a popular concept store in Lagos. “Some have come back from different parts of the world and are creating things that are interesting to people; some are making more contemporary pieces that people can wear every day. There’s more variety, and people feel proud to be wearing things made by Africans.” In 2023, Alara opened a pop-up shop as part of the Brooklyn Museum’s “Africa Fashion” exhibition.

“Currently the global fashion community is looking to the African continent for more than inspiration,” said Ernestine White-Mifetu, the Sills Foundation curator of African art at the Brooklyn Museum. “The fashion world at large is finally ready to pay attention.”", for the past decade nigeria s best known ambassadors have arguably been its musicians burna boy wizkid davido tiwa savage asake and tems who have popularized afrobeats beyond west africa at a moment when music literature visual art and food from across the african continent continue to gain global popularity fashion designers particularly those from nigeria are ready for their industry to take center stage designers have become better and more confident said reni folawiyo owner of alara a popular concept store in lagos some have come back from different parts of the world and are creating things that are interesting to people some are making more contemporary pieces that people can wear every day there s more variety and people feel proud to be wearing things made by africans in alara opened a pop up shop as part of the brooklyn museum s africa fashion exhibition currently the global fashion community is looking to the african continent for more than inspiration said ernestine white mifetu the sills foundation curator of african art at the brooklyn museum the fashion world at large is finally ready to pay attention ,The New York Times,Fashion
18,"Netflix added 9.3 million subscribers in the first quarter of 2024, it announced on Thursday, outperforming analysts’ expectations and solidifying its status as the entertainment industry’s dominant streaming company.

It also generated $2.3 billion in net income and its revenue was $9.3 billion, 15 percent higher compared with the same time last year. Netflix now has almost 270 million subscribers around the world.

The streaming giant said its quarter was buoyed by audience interest in series such as “Griselda,” “3 Body Problem” and “Avatar: The Last Airbender.”

Its ad-tier business, which is now a year old and offers subscribers a lower-priced option, grew 65 percent from last quarter. The company said that in the markets where the ad tier was available, 40 percent of new sign-ups chose that option. Cracking down on password sharing among households also buoyed the company’s quarterly numbers.",netflix added million subscribers in the first quarter of it announced on thursday outperforming analysts expectations and solidifying its status as the entertainment industry s dominant streaming company it also generated billion in net income and its revenue was billion percent higher compared with the same time last year netflix now has almost million subscribers around the world the streaming giant said its quarter was buoyed by audience interest in series such as griselda body problem and avatar the last airbender its ad tier business which is now a year old and offers subscribers a lower priced option grew percent from last quarter the company said that in the markets where the ad tier was available percent of new sign ups chose that option cracking down on password sharing among households also buoyed the company s quarterly numbers ,The New York Times,Entertainment
19,"There’s often a bias against the idea of flashiness, especially in classical music circles, as if it must always be preceded by the word “empty.”

But not on Wednesday at David Geffen Hall, where the conductor Andrés Orozco-Estrada and the cellist Edgar Moreau were making their New York Philharmonic debuts. If anything, the word that accompanied their kind of flashiness was “fun.”

By offering plenty of buoyancy — and largely skirting grave weight — the programming communicated this conductor’s zealous pursuit of entertainment. It ran from a rousing take on Tchaikovsky’s “Romeo and Juliet” Overture-Fantasy to a graceful (and yes, occasionally flashy) Haydn Cello Concerto No. 1, then, after intermission, a truly aggressive reading of Bartok’s “Miraculous Mandarin” Suite and a boisterous finale in Enescu’s Romanian Rhapsody No. 1.

That’s an evening built to dazzle and entertain. But there was substance as well. From the outset of Tchaikovsky’s crowd-pleaser, Orozco-Estrada had the Philharmonic players in fine balance: Plucked strings had presence; entrances of flute or harp came across clearly; a roll of percussion heightened tension without calling too much early attention to itself.",there s often a bias against the idea of flashiness especially in classical music circles as if it must always be preceded by the word empty but not on wednesday at david geffen hall where the conductor andrés orozco estrada and the cellist edgar moreau were making their new york philharmonic debuts if anything the word that accompanied their kind of flashiness was fun by offering plenty of buoyancy and largely skirting grave weight the programming communicated this conductor s zealous pursuit of entertainment it ran from a rousing take on tchaikovsky s romeo and juliet overture fantasy to a graceful and yes occasionally flashy haydn cello concerto no then after intermission a truly aggressive reading of bartok s miraculous mandarin suite and a boisterous finale in enescu s romanian rhapsody no that s an evening built to dazzle and entertain but there was substance as well from the outset of tchaikovsky s crowd pleaser orozco estrada had the philharmonic players in fine balance plucked strings had presence entrances of flute or harp came across clearly a roll of percussion heightened tension without calling too much early attention to itself ,The New York Times,Entertainment
20,"I first learned about padel last summer, when my partner sent me a photo from a small court during a visit to Germany.

What is that? I wondered.

“Padel. A childish version of tennis,” he texted, anticipating my question.

As an enthusiastic tennis player, I was not very interested.

A few months later, while biking in Williamsburg, Brooklyn, I noticed a large building with a sign that read “Padel Haus,” which billed itself as the first padel club in New York City. This sport wanted my attention, so I invited Victor Mather, a veteran sports reporter, to join me for a lesson.

Victor was willing to try. “I am a reasonably fit guy,” he said. But he was turning 60, he said, and added: “My eyesight isn’t what it used to be, I haven’t played tennis since prep school, and I have never played squash or racquetball.”",i first learned about padel last summer when my partner sent me a photo from a small court during a visit to germany what is that i wondered padel a childish version of tennis he texted anticipating my question as an enthusiastic tennis player i was not very interested a few months later while biking in williamsburg brooklyn i noticed a large building with a sign that read padel haus which billed itself as the first padel club in new york city this sport wanted my attention so i invited victor mather a veteran sports reporter to join me for a lesson victor was willing to try i am a reasonably fit guy he said but he was turning he said and added my eyesight isn t what it used to be i haven t played tennis since prep school and i have never played squash or racquetball ,The New York Times,Sports
